,,N,V,NP,VP
S12000005,DUMFRIES & GALLOWAY,116696,42774,23128,16446
S12000006,EAST AYRSHIRE,95370,27982,13470,9231
S12000008,EAST LOTHIAN,77617,27843,13725,9203
S12000010,CITY OF EDINBURGH,341154,141966,65836,45960
S12000011,FALKIRK,115308,34205,12397,8311
S12000013,COMHAIRLE NAN EILEAN SIAR,22039,7705,4070,2636
S12000014,CITY OF GLASGOW,460099,129827,62080,38412
S12000015,HIGHLAND,180046,65303,30709,19958
S12000017,MIDLOTHIAN,65625,22128,11267,7464
S12000018,MORAY,70915,22593,12324,8246
S12000019,NORTH AYRSHIRE,108291,33184,15444,10990
S12000020,NORTH LANARKSHIRE,252954,71049,28808,17902
S12000021,ORKNEY ISLANDS,16718,5178,3395,2214
S12000023,RENFREWSHIRE,123019,45614,25783,17390
S12000024,SCOTTISH BORDERS,91488,32815,10706,7952
S12000026,CLACKMANNANSHIRE,37371,12197,4121,2869
S12000027,SOUTH AYRSHIRE,90400,32459,16933,12112
S12000028,SOUTH LANARKSHIRE,247269,74432,31853,20248
S12000029,STIRLING,66074,25154,8012,5757
S12000030,WEST DUNBARTONSHIRE,67186,20092,7636,5368
S12000033,ABERDEEN CITY,164177,52194,32797,22790
S12000034,ABERDEENSHIRE,194190,63358,36901,23901
S12000035,ARGYLL & BUTE,67668,27479,11271,7970
S12000036,FIFE,286631,91706,45500,29576
S12000038,SHETLAND ISLANDS,17496,5175,2187,1430
S12000039,DUNDEE CITY,105979,33753,17867,12287
S12000040,WEST LOTHIAN,129049,44015,21319,13787
S12000041,ANGUS,87561,29282,13474,9455
S12000042,EAST DUNBARTONSHIRE,82290,31639,11287,8229
S12000044,PERTH & KINROSS,111167,43304,18291,12980
S12000045,EAST RENFREWSHIRE,67123,28930,13618,9703
S12000046,INVERCLYDE,57765,20332,12130,8453
