name,N,V,NP,VP,W
Aberdeen City,175751,143664,41472,37796,84094
Aberdeenshire,206490,180045,46817,43007,108606
Angus,93656,80302,16984,15472,45192
Argyll & Bute,72014,63516,14445,13593,37143
Clackmannanshire,39974,35410,5526,5123,19036
Comhairle Nan Eilean Siar,22908,19758,5125,4693,10544
Dumfries and Galloway,122052,106775,27737,25931,70039
Dundee,118764,93592,22139,19873,39880
East Ayrshire,99682,84262,16310,14896,44442
East Dunbartonshire,86844,79011,14921,13872,48314
East Lothian,81947,71798,16608,15122,44283
East Renfrewshire,72993,66021,16381,15186,41690
City of Edinburgh ,378039,319025,83041,75088,194638
Falkirk,122460,108626,16739,15713,58030
Fife,302165,254162,56494,51178,139788
Glasgow,486296,364664,75053,63728,169347
Highland,190787,165976,38788,35899,87739
Inverclyde,62486,54601,14026,12786,27329
Midlothian,69620,60395,13836,12578,33972
Moray,75173,64205,15940,14618,36935
North Ayrshire,113941,96173,19363,17687,49016
North Lanarkshire,268738,226883,36411,31162,110922
Orkney,17806,14907,4487,4224,10004
Perth & Kinross,120052,104285,23428,21517,62714
Renfrewshire,134745,117612,29145,26281,62067
Scottish Borders,95542,83526,14903,13588,55553
Shetland,18516,15635,3005,2807,9951
South Ayrshire,94895,81716,20510,18613,47247
South Lanarkshire,261193,222927,40615,37418,121800
Stirling,69043,62225,10905,10180,37153
West Dunbartonshire,71128,62532,9714,8972,28776
West Lothian,138238,119115,25967,23622,65682
