Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
Kilsyth,North Lanarkshire,9302,3593,1544,724,0,771,324,0,132,0,0,0,0,0
Cumbernauld North,North Lanarkshire,13446,5383,971,962,0,943,588,344,216,0,0,0,0,0
Cumbernauld South,North Lanarkshire,14867,6015,1413,1017,0,1779,653,444,225,0,0,0,0,0
"Abronhill, Kildrum and the Village",North Lanarkshire,11251,4498,1449,0,0,1399,1168,0,150,0,0,0,0,0
Strathkelvin,North Lanarkshire,15534,6261,1418,947,865,1245,821,0,635,0,0,0,0,0
Coatbridge North and Glenboig,North Lanarkshire,14277,4841,1599,900,0,765,725,0,289,0,0,0,0,0
Airdrie North,North Lanarkshire,14755,5177,1552,547,0,1050,1040,379,297,0,0,0,0,0
Airdrie Central,North Lanarkshire,11965,4264,1351,630,0,945,721,0,198,0,0,0,0,0
Coatbridge West,North Lanarkshire,11272,3830,1570,1295,0,858,0,0,107,0,0,0,0,0
Coatbridge South,North Lanarkshire,11130,3846,1568,814,0,827,466,0,171,0,0,0,0,0
Airdrie South,North Lanarkshire,14560,5446,1488,959,0,1155,771,407,254,0,0,224,0,0
Fortissat,North Lanarkshire,11314,4281,983,982,0,695,529,0,111,0,0,0,0,0
Thorniewood,North Lanarkshire,11668,4348,1623,1443,0,1057,0,0,225,0,0,0,0,0
Bellshill,North Lanarkshire,10888,3865,1208,919,0,666,437,0,164,0,0,0,0,0
Mossend and Holytown,North Lanarkshire,10020,3382,1281,745,0,578,346,0,141,0,0,0,0,0
Motherwell West,North Lanarkshire,10511,3916,1156,874,0,1256,0,0,535,0,0,0,0,0
Motherwell North,North Lanarkshire,13573,4973,1548,941,897,689,572,0,217,0,0,109,0,0
Motherwell South East & Ravenscraig,North Lanarkshire,13218,4518,944,654,633,885,550,0,311,0,0,0,0,0
Murdostoun,North Lanarkshire,14401,5459,1178,789,0,729,691,0,321,0,0,0,0,0
Wishaw,North Lanarkshire,14299,5208,1590,932,482,1118,674,0,412,0,0,0,0,0
