"","Date","Total.Cases","Active.Cases","Deaths"
"1",2020-02-15,16,13,0
"2",2020-02-16,16,13,0
"3",2020-02-17,16,9,0
"4",2020-02-18,16,7,0
"5",2020-02-19,16,7,0
"6",2020-02-20,16,3,0
"7",2020-02-21,16,2,0
"8",2020-02-22,16,2,0
"9",2020-02-23,16,2,0
"10",2020-02-24,16,2,0
"11",2020-02-25,18,3,0
"12",2020-02-26,26,11,0
"13",2020-02-27,48,32,0
"14",2020-02-28,74,58,0
"15",2020-02-29,79,63,0
"16",2020-03-01,130,114,0
"17",2020-03-02,165,149,0
"18",2020-03-03,203,187,0
"19",2020-03-04,262,246,0
"20",2020-03-05,545,528,0
"21",2020-03-06,670,652,0
"22",2020-03-07,800,782,0
"23",2020-03-08,1040,1022,0
"24",2020-03-09,1224,1204,2
"25",2020-03-10,1565,1545,2
"26",2020-03-11,1966,1938,3
"27",2020-03-12,2745,2714,6
"28",2020-03-13,3675,3621,8
"29",2020-03-14,4599,4544,9
"30",2020-03-15,5813,5754,13
"31",2020-03-16,7272,7188,17
"32",2020-03-17,9367,9274,26
"33",2020-03-18,12327,12194,28
"34",2020-03-19,15320,15161,44
"35",2020-03-20,19848,19600,68
"36",2020-03-21,22364,22071,84
"37",2020-03-22,24873,24513,94
"38",2020-03-23,29056,28480,123
"39",2020-03-24,32991,29542,159
"40",2020-03-25,37323,33570,206
"41",2020-03-26,43938,37998,267
"42",2020-03-27,50871,43862,351
"43",2020-03-28,57695,48781,433
"44",2020-03-29,62435,52683,541
"45",2020-03-30,66885,52740,645
"46",2020-03-31,71808,54933,775
"47",2020-04-01,77981,58350,931
"48",2020-04-02,84794,61247,1107
"49",2020-04-03,91159,65309,1275
"50",2020-04-04,96092,68248,1444
"51",2020-04-05,100123,69839,1584
"52",2020-04-06,103375,72865,1810
"53",2020-04-07,107663,69566,2016
"54",2020-04-08,113296,64647,2349
"55",2020-04-09,118235,63221,2607
"56",2020-04-10,122171,65522,2736
"57",2020-04-11,125452,65181,2871
"58",2020-04-12,127854,64532,3022
"59",2020-04-13,130072,62578,3194
"60",2020-04-14,132210,60515,3495
