"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"UK",219183,186984,31855,32199,344,3923,3655,268,268,0,0.0209804047405126,0.989316438398708,0.85309535867289
"NL",42627,36937,5440,5690,250,245,227,18,18,0,0.00663291550477841,0.956063268892794,0.866516527083773
"SE",26322,18126,3225,8196,4971,401,396,5,5,0,0.0221229173562838,0.393484626647145,0.688625484385685
"FR",176970,94373,26380,82597,56217,312,63,249,70,179,0.00330603032647049,0.319382059881109,0.533271175905521
"US",1367638,1030515,80787,337123,256336,20329,1321,19008,750,18258,0.019727029689039,0.239636571815035,0.75349982963328
"IT",219070,83324,30560,135746,105186,802,-1518,2320,165,2155,0.00962507800873698,0.225126338897647,0.380353311726845
"ES",264663,61603,26621,203060,176439,1880,-1545,3425,143,3282,0.0305179942535266,0.131099182507633,0.232760151589002
"CN",82901,148,4633,82753,78120,14,-60,74,0,74,0.0945945945945946,0.055985885708071,0.00178526193893922
"DE",171879,19910,7569,151969,144400,555,-565,1120,20,1100,0.0278754394776494,0.0498062104771368,0.115837304150013
"KR",10874,1008,256,9866,9610,34,-8,42,0,42,0.0337301587301587,0.0259476991688628,0.0926981791429097
