Ward,Council,N,V,Lab1,Lab2,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
South Kintyre,Argyll and Bute,5278,2470,0,0,415,203,0,1133,0,0,351,0,0
Kintyre and the Islands,Argyll and Bute,5144,2604,225,0,610,0,0,553,0,0,540,0,0
Mid Argyll,Argyll and Bute,5999,2892,174,0,712,0,0,174,0,0,312,0,0
Oban South and the Isles,Argyll and Bute,7615,3365,0,0,830,767,349,191,0,0,184,0,0
Oban North and Lorn,Argyll and Bute,7524,3631,0,0,707,410,0,332,0,0,188,0,0
Cowal,Argyll and Bute,5840,2912,0,0,570,375,0,343,0,0,0,0,0
Dunoon,Argyll and Bute,5715,2367,296,0,663,0,0,94,0,0,105,0,0
Isle of Bute,Argyll and Bute,5078,2287,351,0,609,359,0,216,0,0,0,0,0
Lomond North,Argyll and Bute,6117,2897,376,0,406,0,0,544,0,0,0,0,0
Helensburgh Central,Argyll and Bute,7377,3285,0,0,687,0,0,673,0,0,665,0,0
Helensburgh and Lomond South,Argyll and Bute,5395,2337,0,0,584,0,0,558,0,0,895,300,0
